1,38,4,9
2,86,10,7
3,128,6,8
4,139,8,9
5,151,4,6
6,160,6,9
7,167,2,9
8,178,3,4
9,192,5,4
10,195,6,1
11,196,2,3
12,235,10,5
13,238,3,4
14,242,4,3
15,274,4,8
16,278,6,8
17,287,1,10
18,289,3,8
19,302,10,2
20,312,3,6
21,325,3,6
22,345,1,7
23,346,6,4
24,349,5,1
25,358,2,1
26,362,10,6
27,364,9,1
28,369,2,10
29,371,8,1
30,375,4,6
31,383,8,5
32,387,8,3
33,396,5,7
34,405,9,5
35,413,5,3
36,425,9,10
37,428,8,3
38,429,1,8
39,453,3,5
40,454,2,10
41,456,5,8
42,458,9,7
43,460,5,1
44,479,2,7
45,484,6,7
46,486,7,5
47,487,1,5
48,496,3,1
49,501,9,7
50,502,6,2
51,505,7,4
52,507,6,1
53,519,4,6
54,524,6,8
55,525,10,6
56,526,5,2
57,530,3,8
58,532,3,8
59,533,3,2
60,543,6,10
61,547,2,7
62,548,8,4
63,560,7,4
64,560,8,3
65,569,2,5
66,576,1,6
67,588,5,3
68,600,6,4
69,601,10,6
70,603,4,2
71,614,5,8
72,617,2,6
73,619,6,1
74,621,7,3
75,636,10,6
76,644,3,10
77,651,8,1
78,653,3,7
79,656,5,9
80,668,9,8
81,676,2,6
82,681,9,2
83,690,3,2
84,692,10,7
85,716,9,2
86,730,9,7
87,734,2,7
88,743,3,5
89,758,10,3
90,759,3,4
91,762,3,4
92,773,6,5
93,773,7,8
94,792,1,5
95,830,7,2
96,844,7,6
97,846,9,7
98,864,5,1
99,882,6,1
100,917,4,10
